market_class,market_class_label,country_iso3,gics_code,sector,period,monthly_returns,first_return_month,last_return_month,efficiency_score,inefficiency_distance,vr_2m,vr_3m,vr_6m
developed,Developed,BEL,20,Industrials,2020-2021,24,2020-01-31,2021-12-31,0.7791871660327908,0.2208128339672092,1.1068924461624483,1.175363855196743,1.3801822005424362
developed,Developed,BEL,15,Materials,2020-2021,24,2020-01-31,2021-12-31,0.6940572875754736,0.3059427124245264,1.2322157934778517,1.3099473300947682,1.3756650137009594
developed,Developed,BEL,30,Consumer Staples,2020-2021,24,2020-01-31,2021-12-31,0.7481286970225622,0.25187130297743776,1.373066806435265,1.333603526929521,0.9510564244324727
developed,Developed,BEL,35,Health Care,2020-2021,24,2020-01-31,2021-12-31,0.8299171359980541,0.17008286400194594,0.8630616994062906,1.0337478245468927,0.6604375331347643
developed,Developed,BEL,60,Real Estate,2020-2021,24,2020-01-31,2021-12-31,0.750093814696883,0.24990618530311703,0.9802631656811092,0.8930553840474209,0.37696289436211894
developed,Developed,BEL,20,Industrials,2022-2025,48,2022-01-31,2025-12-31,0.8658786317870616,0.1341213682129384,1.0582763497713952,0.8935495229391148,0.7623627221934651
developed,Developed,BEL,15,Materials,2022-2025,48,2022-01-31,2025-12-31,0.9755460636515579,0.024453936348442062,1.0045643982246413,0.9731799994812836,1.0419774103019686
developed,Developed,BEL,30,Consumer Staples,2022-2025,48,2022-01-31,2025-12-31,0.8622376791598964,0.13776232084010365,1.1507159672584262,1.085110528070673,0.8225395328087883
developed,Developed,BEL,35,Health Care,2022-2025,48,2022-01-31,2025-12-31,0.91533268704969,0.08466731295031005,0.9802312058530023,0.9680660062860829,1.2022991509900154
developed,Developed,BEL,60,Real Estate,2022-2025,48,2022-01-31,2025-12-31,0.9664685764234252,0.03353142357657479,1.0857106069119888,1.0102155629148228,0.9953318990970874
frontier,Frontier,BGD,40,Financials,2008-2010,36,2008-01-31,2010-12-31,0.5202747833514236,0.47972521664857637,1.2571773018054342,1.4313135447749328,1.7506848033653621
frontier,Frontier,BGD,25,Consumer Discretionary,2022-2025,48,2022-01-31,2025-12-31,0.9238074441601092,0.07619255583989082,0.9250970130393887,0.9834394850575722,0.8628858343833666
frontier,Frontier,BGD,40,Financials,2022-2025,48,2022-01-31,2025-12-31,0.8549173705020284,0.14508262949797157,1.1273514449214812,1.063650924378496,0.7557544808060623
frontier,Frontier,BGD,15,Materials,2022-2025,48,2022-01-31,2025-12-31,0.9399474624812129,0.06005253751878714,1.0156664621973939,1.0034524858027145,0.8389613354437468
frontier,Frontier,BGD,20,Industrials,2022-2025,48,2022-01-31,2025-12-31,0.8962830180967444,0.10371698190325562,0.8876743769412566,0.8363652185907101,0.9648094587582665
frontier,Frontier,BGD,30,Consumer Staples,2022-2025,48,2022-01-31,2025-12-31,0.8760223117655691,0.1239776882344309,1.1099154759804135,1.1333819232264417,0.8713643345035625
frontier,Frontier,BGD,35,Health Care,2022-2025,48,2022-01-31,2025-12-31,0.9412965629878299,0.05870343701217007,1.080347649089912,1.034114902402192,0.938352240455594
frontier,Frontier,BGD,55,Utilities,2022-2025,48,2022-01-31,2025-12-31,0.9178715396723948,0.08212846032760523,1.0202523645505641,1.0308533670638638,1.195279649368388
