market_class,market_class_label,period,gics_code,sector,country_count,countries_iso3,mean_efficiency_score,population_sd_country_scores,mean_vr_2m,mean_vr_3m,mean_vr_6m
emerging,Developing (MSCI Emerging proxy),2008-2010,10,Energy,3,"CHN,IND,MYS",0.4345451069540478,0.3450129009641242,1.199119670995606,1.4325067975163825,2.0647382106258685
emerging,Developing (MSCI Emerging proxy),2008-2010,15,Materials,19,"BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,KWT,MEX,MYS,PER,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.1914268842807352,0.27079024308850164,1.3539704527012018,1.6386780216406776,2.433070872815915
emerging,Developing (MSCI Emerging proxy),2008-2010,20,Industrials,18,"BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,KWT,MEX,MYS,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.2341186755129082,0.2897760076043851,1.3381043474439922,1.585678680592919,2.364856433205391
emerging,Developing (MSCI Emerging proxy),2008-2010,25,Consumer Discretionary,15,"BRA,CHN,EGY,GRC,IDN,IND,KOR,MEX,MYS,PHL,POL,THA,TUR,TWN,ZAF",0.2968212404357189,0.3024870685369299,1.2931705839601024,1.507139794042243,2.308904604259041
emerging,Developing (MSCI Emerging proxy),2008-2010,30,Consumer Staples,17,"BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,MEX,MYS,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.3611665046179211,0.2973717178848705,1.27979149820629,1.4596153637654528,2.1570213223761723
emerging,Developing (MSCI Emerging proxy),2008-2010,35,Health Care,6,"CHN,IND,KOR,MYS,THA,TWN",0.4679808861773864,0.2781363735854549,1.1907976908025426,1.3467418086340455,2.0503929787428397
emerging,Developing (MSCI Emerging proxy),2008-2010,40,Financials,20,"ARE,BRA,CHL,CHN,COL,EGY,GRC,IDN,IND,KOR,KWT,MYS,PHL,POL,QAT,SAU,THA,TUR,TWN,ZAF",0.33756469055134175,0.335324801016418,1.3010843232334375,1.4829519341488624,2.181726933517657
emerging,Developing (MSCI Emerging proxy),2008-2010,45,Information Technology,9,"CHN,GRC,IND,KOR,MYS,POL,THA,TWN,ZAF",0.3530750963944643,0.18579368120418366,1.235563042173589,1.4397458248407655,2.2654658438022524
emerging,Developing (MSCI Emerging proxy),2008-2010,50,Communication Services,3,"IND,KOR,THA",0.7658549412333047,0.10227303060380646,1.04004232995723,0.9565287239427803,1.3292727554475199
emerging,Developing (MSCI Emerging proxy),2008-2010,55,Utilities,5,"BRA,CHL,CHN,IND,KOR",0.5991696770441847,0.3523447078896417,1.1046915872595366,1.2455943126476645,1.7037447734209707
emerging,Developing (MSCI Emerging proxy),2020-2021,10,Energy,6,"CHN,IDN,IND,MYS,PHL,THA",0.8229683185690383,0.026078762041131933,1.0873830134975135,1.0508819567967698,0.6794748199594781
emerging,Developing (MSCI Emerging proxy),2020-2021,15,Materials,19,"BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,KWT,MEX,MYS,PER,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.675198084356373,0.25978516133512713,1.1933066906894723,1.311356391660531,1.2113638362568673
emerging,Developing (MSCI Emerging proxy),2020-2021,20,Industrials,19,"ARE,BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,KWT,MEX,MYS,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.77195900359084,0.155537079616018,1.0899924826358383,1.1363006416281318,0.8809992441802297
emerging,Developing (MSCI Emerging proxy),2020-2021,25,Consumer Discretionary,17,"BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,MEX,MYS,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.7165202669138107,0.16510078039863388,1.1281799127494525,1.213996867273519,0.9724614202914047
